Date,Close
"Jan 29, 2022","33,758.80"
"Jan 28, 2022","33,889.11"
"Jan 27, 2022","33,324.29"
"Jan 26, 2022","32,783.68"
"Jan 25, 2022","32,693.35"
"Jan 24, 2022","32,369.33"
"Jan 23, 2022","31,986.82"
"Jan 22, 2022","30,877.94"
"Jan 21, 2022","32,135.85"
"Jan 20, 2022","35,957.71"
